nowy 								新しい
japonia								日本
japonczyk							日本人
polska								ポランド
niemcy								ドイツ
gora								山(やま）
hiszpania							スペイン
kobieta								女の人
milosc 								あい
zielony、niebieski					あおい
spotykac							あう
mowic								いう
nie									いいえ
kupowac								買う
pagorek								おか
czerwony							あかい
jesien								あき
sluchac								きく
pisac								かく
staw								いけ
swit								あけ
dworzec								駅（えき）
karp								こい
glos								こせ
tutaj								ここ
wzgorze								さか
parasol								かさ
ｋwitnac								さく
rano								あさ
sarna								しか
stopa、noga							あし
miejsce								せき
pot									あせ
klamstwo							うそ
tam									そこ
kamien								いし
jutro								あす
oddawac								かえす
piosenka							うた
osoba;　sposob						かた
polnoc								北（きた）
jeden								一
usta								口（くち）
siedem								七
goracy								あつい
uderzac								うつ
zwyciezac，wygrywac					かつ
buty								くつ
stac								たつ
reka								手（て）
po,　potem							あと
dzwiek								おと
rzecz								こと
na　zewnatrz							そと
czas								とき
rok									年（とし）
srodek								なか
plakac								なく
gruszka								なし
lato								なつ
polka								たな
krab								かに
kraj								国（くに））
dolina								たに
mieso								にく
zachod								西（にし）
dzien								日（にち）
pies								いぬ
umierac								死ぬ（しぬ）
starsza　siostra						あね
pieniadze							お金
kot									ねこ
goraczka							ねつ
ten									この
tamten								その
mama								母（はは）
pudelko								はこ
paleczki							はし
ciagnac								ひく
czlowiek							人（ひと）
pokrywka							ふた
lodka								ふね
kosc								ほね
sliwka								うめ
brzoskwinia							もも
morze								うみ
ucho								みみ
wrzatek								おゆ
sen									ゆめ
noc									よる
okragly								まるい
wioska								むら
gora								山（やま）
ciemnosc							やみ
czytac								よむ
robic								やる
my									われわれ
klucz								かぎ
broda								ひげ
godzina								じ
calkiem								ずいぶん
szuflada							ひきだし
wychodzic							でる
jaki								どんあ
wkrotce，szybko						すぐ
czesc								ぶぶん
roza								バラの花
jedna　minuta						一分（いっぷん）
pelny								いっぱい
dziecinny							こどもっぽい
wspanialy							すばらし
dzisiaj								今日（きょう）
restauracja							りょうりや
gosc,　klient						おきゃくさん
mleko								ぎゅうにゅう
zdjecie								しゃしん
adres								じゅうしょ
przygotrowania						じゅんび
gimnazjum							中学校（ちゅうがっこ）
szpital								びょういん
obiad								ちゅうしょく
slub								けっこん
jeden　miesiac						いっかげつかん
18　lat　								じゅうはっさい
4　dzien　miesiaca					よっか
zajecia								じゅぎょう
szkola　podstawowa					小学校（しょうがっこ）
weekend								しゅうまつ
ciezka　choroba						じゅうびょう
poczta								ゆうびんきょく
park								こえん
pojutrze							あさって
wczoraj								きのう
muzeum								はくぶつかん
troche								ちょっと
ziemniak							じゃがいも
opis								びょうしゃ
sezam　i　sol							ごましお
bocian								こうのとり
niedziela							日曜日
jeden　tydzien						一週間（いっしゅうかん）
mydlo								せっけん
czarniutenki						まっくろ
bielutki							まっしろ
imie　meskie							いちろう
karetka								きゅうきゅうしゃ
ogolny								いっぱんてきな
uniwersystet						大学（だいがく）
szkoda								ざんえん
umiec,　potrafic						できる
czas								時間（じかん）
zlodziej							どろぼう
konstytucja							けんぽう
tradycja							でんとう
obcokrajowiec						外国人（がいこくじん）
ZOO									どうぶつえん
OK,　dobrze							だいじょうぶ
przez　caly　dzien					いちにちじゅう
krok　po　kroku						いっぽいっぽ
cudza　rodzina						ごかぞく
koniecznie							ぜひ
nazwa　potrawy						てんぷら
surowa　ryba							さかな
samolot								ひこうき
jeden　po　drugim						ひとつづつ
jedynak								ひとりっこ
